Total Canvases Found: 9
==================================================
ROOT: Canvas_a5_Quest
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_3/QOK103_ClaimBtn | MIN:(1.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(1.00, 0.50) | POS:(-65.00, 0.00) | SIZE:(90.00, 90.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_3/QOK103_ClaimBtn/Text | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_2 | MIN:(0.00, 1.00) | MAX:(0.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(450.00, -826.00) | SIZE:(900.00, 100.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_2/Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_2/AD612_Icon | MIN:(0.00, 0.50) | MAX:(0.00, 0.50) | PIVOT:(0.00, 0.50) | POS:(20.00, 0.00) | SIZE:(80.00, 80.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_2/QuestInfo | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(-220.00, -20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_2/QuestInfo/QT102_Title | MIN:(0.00, 1.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 1.00) | POS:(0.00, -5.00) | SIZE:(0.00, 30.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_2/QuestInfo/QT102_Desc | MIN:(0.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_2/QuestInfo/QTP102_ProgressBar | MIN:(0.00, 0.00) | MAX:(1.00, 0.00) | PIVOT:(0.50, 0.00) | POS:(0.00, 5.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_2/QuestInfo/QTP102_ProgressBar/ProgressBar_Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_2/QuestInfo/QTP102_ProgressBar/ProgressBar_Background/ProgressBar_Fill | MIN:(0.00, 0.00) | MAX:(0.00, 1.00) | PIVOT:(0.00, 0.50) | POS:(0.00, 0.00) | SIZE:(100.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_2/QuestInfo/QTP102_ProgressBar/ProgressBar_Background/ProgressText | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_2/QOK102_ClaimBtn | MIN:(1.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(1.00, 0.50) | POS:(-65.00, 0.00) | SIZE:(90.00, 90.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_2/QOK102_ClaimBtn/Text | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD611_Milestones | MIN:(0.00, 1.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 1.00) | POS:(0.00, -273.00) | SIZE:(0.00, 100.00)
Canvas_a5_Quest/Panel_AD611_Milestones/Milestone_AD611 | MIN:(0.00, 0.50) | MAX:(0.00, 0.50) | PIVOT:(0.00, 0.50) | POS:(107.00, 0.00) | SIZE:(80.00, 80.00)
Canvas_a5_Quest/Panel_AD611_Milestones/Milestone_AD611/Label_AD611 | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
